name,brand,category,price,claim_type,kcal,sugar_g,carb_g,sweeteners(쉼표구분),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL)
그릭슈바인 제로닭 닭가슴살볼 마늘간장,삼립,육가공품,,저당류,226,1,11,"알룰로스,효소처리스테비아,L-글루탐산나트륨",,50,https://zerofinder.co.kr/public/products/original/0M66RDHNZHM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M66RG3KQSM00.png,https://zerofinder.co.kr/product/0PCNV3FZA0JQP
일화차시 제로 허니자몽블랙티,삼양,음료,,저당류,5,1,1,"수크랄로스,아세설팜칼륨",,50,https://zerofinder.co.kr/public/products/original/0M66Q1KCTNM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M66Q4W979M00.png,https://zerofinder.co.kr/product/0PCNV3FZA03KE
제로 떡볶이 로제,닥터로빈,즉석식품,,무당류,160,0,37,"에리스리톨,알룰로스",,50,https://zerofinder.co.kr/public/products/original/0M66P7KYHSM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M66P9NV0SM00.png,https://zerofinder.co.kr/product/0PCNV3FZ9YWJW
김대감 제로슈가 스틱김자반,해담솔,수산가공품,,무당류,650,0.12,25.91,"에리스리톨,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M612BE0XZC00.png,https://zerofinder.co.kr/public/nutritionfacts/0M611D5F6ZC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9XBFP
제로 아이스티 화이트피치,던킨도너츠,음료,,무당류,1,0,0.2,수크랄로스,,50,https://zerofinder.co.kr/public/products/original/0M60ZA3K6VC00.png,,https://zerofinder.co.kr/product/0PCNV3FZ9VVHQ
일화차시 유자민트티 제로,일화,음료,,무당류,1,0.1,0.21,"수크랄로스,아세설팜칼륨,알룰로스",,50,https://zerofinder.co.kr/public/products/original/0M60YH9QRQC00.png,https://zerofinder.co.kr/public/nutritionfacts/0M60YKB5HVC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9R4PD
왓더파머스 제로 옥수수 콘칩,푸디스,간식/디저트,,무당류,95,0,21,,,50,https://zerofinder.co.kr/public/products/original/0M60YCHFYVC00.png,https://zerofinder.co.kr/public/nutritionfacts/0M60XKE2CZC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9MZSY
데일리구미 비타민C 제로슈가,서주2공장,건강기능식품,,무당류,421,0,122,"D-소비톨액,말티톨,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M60VVPQD3C00.png,https://zerofinder.co.kr/public/nutritionfacts/0M60VYKNN7C00.png,https://zerofinder.co.kr/product/0PCNV3FZ9MHGF
타코 제로슈가 유자 파우더,가배온,음료,,무당류,0,0,20,에리스리톨,,50,https://zerofinder.co.kr/public/products/original/0M60TWWFN7C00.png,https://zerofinder.co.kr/public/nutritionfacts/0M60TYRVAFC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9MHCE
린코어 제로슈거 초코 프로틴,글리시드,기타,,무당류,340,0,23.33,에리스리톨,,50,https://zerofinder.co.kr/public/products/original/0M60S5NSAQC00.png,https://zerofinder.co.kr/public/nutritionfacts/0M60S81DMZC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9KHK2
zero 레몬 시럽,네이쳐티,간식/디저트,,무당류,16,0,30,"에리스리톨,알룰로스",,50,https://zerofinder.co.kr/public/products/original/0M60QQ7EGKC00.png,https://zerofinder.co.kr/public/nutritionfacts/0M60QSYXEVC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9FDV7
우리차 피치망고 아이스티,송원식품,음료,,무당류,0,0,5,에리스리톨,,50,https://zerofinder.co.kr/public/products/original/0M60NP97ZBC00.png,https://zerofinder.co.kr/public/nutritionfacts/0M60NRS1ZZC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9DEFQ
오롯이 제로슈가 커피믹스,가배온,음료,,무당류,30,0,9,에리스리톨,,50,https://zerofinder.co.kr/public/products/original/0M60M2T1MBC00.png,https://zerofinder.co.kr/public/nutritionfacts/0M60M51FTBC00.png,https://zerofinder.co.kr/product/0PCNV3FZ9C1TZ
팽이팽이 수박&파인애플 제로,해태,간식/디저트,,무당류,0,0,2,알룰로스,,50,https://zerofinder.co.kr/public/products/original/0M60DEHF5K000.png,https://zerofinder.co.kr/public/nutritionfacts/0M60DFXRWF000.png,https://zerofinder.co.kr/product/0PCNV3FZ99E73
제주청귤 아이스티 녹차 제로,티로그,음료,,,1,,,수크랄로스,,50,https://zerofinder.co.kr/public/products/original/0M60D73MAK000.png,https://zerofinder.co.kr/public/nutritionfacts/0M5PHMKHV7000.png,https://zerofinder.co.kr/product/0M5PHWKE1K000
미닛메이드 제로 피치에이드,코카콜라,음료,,무당류,2,0,0.49,"아세설팜칼륨,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0M5PFAEN4B000.png,https://zerofinder.co.kr/public/nutritionfacts/0M5PF9G5VK000.png,https://zerofinder.co.kr/product/0PCNV3FZ92SVN
프로틴 그래놀라 제로슈거 컵,농업회사법인 두리두리,주식/면류,,무당류,146,0.17,23.8,"말티톨,D-말티톨,알룰로스,아라비아검",,50,https://zerofinder.co.kr/public/products/original/0M5PEDXYWZ000.png,https://zerofinder.co.kr/public/nutritionfacts/0M5PEFEBFK000.png,https://zerofinder.co.kr/product/0PCNV3FZ92B4G
프로틴 그래놀라 제로슈거,켈로그,주식/면류,,무당류,419,0.48,63,"말티톨,D-말티톨,아라비아검,알룰로스,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M5PDBR5FQ000.png,https://zerofinder.co.kr/public/nutritionfacts/0M5PDF4RWB000.png,https://zerofinder.co.kr/product/0PCNV3FZAG05F
애플셔벗에이드 제로,자연은,음료,,무당류,10,0,11.4,"D-소비톨액,아세설팜칼륨,아라비아검,수크랄로스,스테비올 배당체",,50,https://zerofinder.co.kr/public/products/original/0M5PB0M1RK000.png,https://zerofinder.co.kr/public/nutritionfacts/0M5PB2ZN0Z000.png,https://zerofinder.co.kr/product/0PCNV3FZ91MGF
일화차시 제로 키위그린티,삼양패키징 광혜원 공장,음료,,무당류,1,0,0.19,"수크랄로스,아세설팜칼륨",,50,https://zerofinder.co.kr/public/products/original/0M5P9434VZ000.png,https://zerofinder.co.kr/public/nutritionfacts/0M5P96PHH7000.png,https://zerofinder.co.kr/product/0PCNV3FZ9067D
링티제로 레몬라임맛,링티,음료,,,,,13,"에리스리톨,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0M5P8RWGAZ000.png,,https://zerofinder.co.kr/product/0M5P8K5M4V000
링티제로 복숭아맛,링티,음료,,무당류,0,0,2.6,"에리스리톨,스테비올 배당체",,50,https://zerofinder.co.kr/public/products/original/0M5P6C2063000.png,https://zerofinder.co.kr/public/nutritionfacts/0M5P6F3QD3000.png,https://zerofinder.co.kr/product/0PCNV3FZ8ZZRF
