name,brand,category,price,price_source(real/danawa/estimated),claim_type,kcal,sugar_g,carb_g,protein_g,fat_g,sodium_mg,serving_size,serving_unit,sweeteners(쉼표구분),sweetener_amounts(이름:g),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL)
저당 쿠키앤크림 초코바,라라스윗,간식/디저트,21200,estimated,저당류,145,1,21,2,12,65,90,mL,"에리스리톨,알룰로스,말티톨","에리스리톨:7,알룰로스:4,말티톨:0",,13,https://s3.zerofinder.co.kr/public/products/original/0M6FWRNWW9M00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6FWSWZRNM00.png,https://zerofinder.co.kr/product/0M6FX5CF7DM00
저당 복숭아 생요거트바,라라스윗,간식/디저트,13900,danawa,저당류,80,3,17,1,3.4,20,70,mL,"에리스리톨,알룰로스,아세설팜칼륨,수크랄로스","에리스리톨:2,알룰로스:1,아세설팜칼륨:0,수크랄로스:0",,40,https://s3.zerofinder.co.kr/public/products/original/0M6FW21KJHM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6FW2WAQXM00.png,https://zerofinder.co.kr/product/0M6FWC2QEXM00
저당 딸기 생요거트바,라라스윗,간식/디저트,31490,danawa,저당류,80,3,17,1,3.5,30,70,mL,"에리스리톨,알룰로스,아세설팜칼륨,수크랄로스","에리스리톨:3,알룰로스:0,아세설팜칼륨:0,수크랄로스:0",,38,https://s3.zerofinder.co.kr/public/products/original/0M6FVBD2G9M00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6FVCA2S5M00.png,https://zerofinder.co.kr/product/0M6FVK22PSM00
저당 초콜릿 초코바,라라스윗,간식/디저트,38410,danawa,저당류,150,2,18.5,3.5,13,55,90,mL,"알룰로스,에리스리톨","알룰로스:4,에리스리톨:6",,32,https://s3.zerofinder.co.kr/public/products/original/0M6FTKCDJHM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6FTM6BTHM00.png,https://zerofinder.co.kr/product/0M6FTVSNCSM00
제로슈거 파비플로라 알파CD 보라워터,삼양,음료,31200,estimated,무당류,12,0,8,0,0,40,500,mL,스테비올 배당체,스테비올 배당체:0,,39,https://s3.zerofinder.co.kr/public/products/original/0M6BDJZMQXM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6BDQFRD9M00.png,https://zerofinder.co.kr/product/0PCNV3FZCJ567
서주 탱글탱글 제로 사과맛,서주제과,간식/디저트,23050,danawa,무당류,87,0,32,0,0,29,40,g,"D-말티톨,D-소비톨액,효소처리스테비아,아세설팜칼륨","D-말티톨:0,D-소비톨액:0,효소처리스테비아:0,아세설팜칼륨:0",,49,https://s3.zerofinder.co.kr/public/products/original/0M6BCPS9QDM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6BCR0GWHM00.png,https://zerofinder.co.kr/product/0PCNV3FZBCHN3
야쿠르트1971 코코바이트 제로,삼양패키징 광혜원 공장,음료,17300,estimated,무당류,0,0,7,0,0,25,280,mL,"에리스리톨,아세설팜칼륨,수크랄로스,스테비올 배당체,D-소비톨액,아라비아검","에리스리톨:0,아세설팜칼륨:0,수크랄로스:0,스테비올 배당체:0,D-소비톨액:0,아라비아검:0",,24,https://s3.zerofinder.co.kr/public/products/original/0M6BBG5T6DM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6BBJF0SNM00.png,https://zerofinder.co.kr/product/0PCNV3FZBRDA2
보성홍차 아이스티 제로 샤인머스캣,동원,음료,20900,estimated,무당류,0,0,1,0,0,150,500,mL,"수크랄로스,아세설팜칼륨,스테비올 배당체","수크랄로스:0,아세설팜칼륨:0,스테비올 배당체:0",,47,https://s3.zerofinder.co.kr/public/products/original/0M6BAVAT5SM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6BAXQ5A5M00.png,https://zerofinder.co.kr/product/0PCNV3FZC4GGK
제로 아이스 트리플 초콜릿바,롯데,간식/디저트,61720,danawa,무당류,150,0,16,2,11,45,80,mL,"D-말티톨,수크랄로스","D-말티톨:0,수크랄로스:0",,33,https://s3.zerofinder.co.kr/public/products/original/0M6B9TSS9SM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6B9SKVPHM00.png,https://zerofinder.co.kr/product/0PCNV3FZBBG5N
보성홍차 아이스티 제로 애플,동원,음료,20100,danawa,무당류,0,1,1,0,0,50,500,mL,"수크랄로스,아세설팜칼륨","수크랄로스:0,아세설팜칼륨:0",,33,https://s3.zerofinder.co.kr/public/products/original/0M6B8ZMN65M00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M6B930Q2NM00.png,https://zerofinder.co.kr/product/0PCNV3FZBRWK1
